Date_of_journey,Journey_day,Airline,Class,Source,Departure,Total_stops,Arrival,Destination,Duration_in_hours,Fare
2023-02-18,Saturday,Indigo,Economy,Chennai,6 AM - 12 PM,1-stop,12 PM - 6 PM,Hyderabad,6.1667,6190
2023-01-31,Tuesday,Air India,Economy,Mumbai,12 PM - 6 PM,1-stop,After 6 PM,Chennai,7.0833,11571
2023-02-21,Tuesday,Vistara,Premium Economy,Mumbai,After 6 PM,1-stop,After 6 PM,Chennai,24.5833,16394
2023-02-27,Monday,Air India,Economy,Mumbai,12 PM - 6 PM,1-stop,After 6 PM,Delhi,6.5833,12981
2023-02-11,Saturday,Vistara,Economy,Bangalore,After 6 PM,2+-stop,After 6 PM,Delhi,27.0,8634
2023-02-10,Friday,Indigo,Economy,Hyderabad,After 6 PM,non-stop,After 6 PM,Bangalore,1.25,3847
2023-03-02,Thursday,SpiceJet,Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Ahmedabad,15.5833,4980
2023-01-25,Wednesday,Air India,Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,17.25,16827
2023-02-23,Thursday,Vistara,Economy,Delhi,6 AM - 12 PM,1-stop,12 PM - 6 PM,Bangalore,8.25,9179
2023-02-10,Friday,Vistara,Business,Chennai,After 6 PM,1-stop,12 PM - 6 PM,Bangalore,21.25,68428
2023-02-25,Saturday,Vistara,Premium Economy,Hyderabad,6 AM - 12 PM,1-stop,12 PM - 6 PM,Mumbai,27.9167,15803
2023-02-24,Friday,Vistara,Economy,Bangalore,12 PM - 6 PM,1-stop,6 AM - 12 PM,Ahmedabad,14.25,7962
2023-02-10,Friday,Air India,Business,Bangalore,12 PM - 6 PM,1-stop,After 6 PM,Kolkata,25.8333,60703
2023-01-26,Thursday,AirAsia,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Bangalore,9.0,11737
2023-02-04,Saturday,Indigo,Economy,Delhi,After 6 PM,1-stop,Before 6 AM,Mumbai,7.8333,8968
2023-01-19,Thursday,Vistara,Business,Delhi,6 AM - 12 PM,1-stop,12 PM - 6 PM,Ahmedabad,7.8333,60750
2023-02-05,Sunday,Vistara,Premium Economy,Delhi,6 AM - 12 PM,non-stop,12 PM - 6 PM,Hyderabad,2.0833,7838
2023-02-11,Saturday,AirAsia,Economy,Delhi,6 AM - 12 PM,1-stop,12 PM - 6 PM,Chennai,7.5833,6418
2023-02-28,Tuesday,Indigo,Economy,Kolkata,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,7.0,8612
2023-02-09,Thursday,Vistara,Economy,Hyderabad,12 PM - 6 PM,1-stop,After 6 PM,Kolkata,9.4167,16868
2023-02-28,Tuesday,Vistara,Premium Economy,Kolkata,6 AM - 12 PM,2+-stop,12 PM - 6 PM,Mumbai,6.25,15838
2023-01-29,Sunday,Vistara,Business,Mumbai,After 6 PM,1-stop,After 6 PM,Ahmedabad,20.9167,48717
2023-03-03,Friday,Indigo,Economy,Chennai,After 6 PM,non-stop,After 6 PM,Bangalore,1.0,1934
2023-02-25,Saturday,Vistara,Business,Delhi,Before 6 AM,non-stop,6 AM - 12 PM,Bangalore,2.75,32859
2023-02-12,Sunday,Air India,Economy,Delhi,After 6 PM,1-stop,12 PM - 6 PM,Mumbai,16.4167,13305
2023-01-18,Wednesday,Air India,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Ahmedabad,26.0833,21884
2023-02-06,Monday,AirAsia,Economy,Delhi,6 AM - 12 PM,1-stop,12 PM - 6 PM,Hyderabad,9.1667,5955
2023-02-04,Saturday,Vistara,Business,Delhi,12 PM - 6 PM,1-stop,Before 6 AM,Hyderabad,11.25,39377
2023-02-03,Friday,Vistara,Premium Economy,Ahmedabad,6 AM - 12 PM,1-stop,6 AM - 12 PM,Kolkata,25.5833,16496
2023-01-17,Tuesday,Vistara,Business,Chennai,After 6 PM,1-stop,6 AM - 12 PM,Kolkata,12.5,67969
2023-02-06,Monday,Air India,Economy,Chennai,12 PM - 6 PM,1-stop,6 AM - 12 PM,Hyderabad,17.6667,11152
2023-02-22,Wednesday,Vistara,Premium Economy,Mumbai,6 AM - 12 PM,1-stop,After 6 PM,Chennai,8.4167,16394
2023-02-23,Thursday,Indigo,Economy,Hyderabad,6 AM - 12 PM,1-stop,12 PM - 6 PM,Mumbai,5.75,5678
2023-01-25,Wednesday,Vistara,Premium Economy,Mumbai,6 AM - 12 PM,non-stop,6 AM - 12 PM,Bangalore,1.75,5048
2023-01-28,Saturday,AirAsia,Economy,Kolkata,12 PM - 6 PM,non-stop,After 6 PM,Bangalore,2.4167,8710
2023-02-24,Friday,Vistara,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Kolkata,27.25,13620
2023-02-08,Wednesday,Indigo,Economy,Kolkata,After 6 PM,1-stop,Before 6 AM,Hyderabad,5.75,11127
2023-02-08,Wednesday,AirAsia,Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Bangalore,11.0833,5901
2023-02-06,Monday,Air India,Business,Hyderabad,After 6 PM,1-stop,6 AM - 12 PM,Bangalore,10.0833,38278
2023-02-22,Wednesday,Air India,Economy,Hyderabad,After 6 PM,1-stop,After 6 PM,Bangalore,23.75,10028
2023-01-28,Saturday,Vistara,Economy,Kolkata,6 AM - 12 PM,1-stop,6 AM - 12 PM,Chennai,25.5,13674
2023-03-02,Thursday,Vistara,Business,Mumbai,After 6 PM,1-stop,12 PM - 6 PM,Bangalore,20.0833,54608
2023-02-13,Monday,Indigo,Economy,Chennai,6 AM - 12 PM,1-stop,12 PM - 6 PM,Mumbai,6.1667,8406
2023-02-28,Tuesday,Air India,Economy,Delhi,After 6 PM,1-stop,After 6 PM,Ahmedabad,21.4167,8234
2023-01-23,Monday,Vistara,Business,Ahmedabad,6 AM - 12 PM,1-stop,12 PM - 6 PM,Mumbai,5.8333,76217
2023-02-21,Tuesday,Indigo,Economy,Hyderabad,After 6 PM,1-stop,Before 6 AM,Kolkata,6.8333,10637
2023-02-01,Wednesday,Vistara,Economy,Hyderabad,6 AM - 12 PM,1-stop,12 PM - 6 PM,Mumbai,5.5833,14926
2023-01-31,Tuesday,Vistara,Economy,Hyderabad,6 AM - 12 PM,1-stop,12 PM - 6 PM,Ahmedabad,9.6667,13574
2023-01-30,Monday,Air India,Economy,Delhi,6 AM - 12 PM,non-stop,6 AM - 12 PM,Ahmedabad,1.6667,3194
2023-02-19,Sunday,Vistara,Economy,Chennai,After 6 PM,1-stop,12 PM - 6 PM,Mumbai,20.5,13971
2023-01-16,Monday,Vistara,Business,Bangalore,After 6 PM,1-stop,12 PM - 6 PM,Ahmedabad,20.75,48314
2023-02-10,Friday,Vistara,Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,12.8333,12079
2023-01-23,Monday,Vistara,Business,Chennai,6 AM - 12 PM,1-stop,12 PM - 6 PM,Bangalore,9.9167,67857
2023-01-23,Monday,Air India,Economy,Ahmedabad,After 6 PM,1-stop,12 PM - 6 PM,Hyderabad,15.75,9622
2023-02-10,Friday,Vistara,Economy,Hyderabad,6 AM - 12 PM,1-stop,After 6 PM,Bangalore,16.3333,11482
2023-02-11,Saturday,Indigo,Economy,Hyderabad,After 6 PM,1-stop,Before 6 AM,Mumbai,6.75,6508
2023-01-29,Sunday,Vistara,Premium Economy,Bangalore,After 6 PM,1-stop,12 PM - 6 PM,Mumbai,18.25,18927
2023-02-07,Tuesday,AirAsia,Economy,Mumbai,After 6 PM,1-stop,6 AM - 12 PM,Chennai,10.5,4041
2023-01-20,Friday,Indigo,Economy,Ahmedabad,6 AM - 12 PM,1-stop,12 PM - 6 PM,Kolkata,5.4167,11849
2023-03-04,Saturday,Air India,Economy,Chennai,6 AM - 12 PM,1-stop,12 PM - 6 PM,Delhi,6.0833,8479
2023-02-01,Wednesday,AirAsia,Economy,Bangalore,6 AM - 12 PM,non-stop,12 PM - 6 PM,Delhi,2.8333,6603
2023-02-17,Friday,GO FIRST,Economy,Ahmedabad,6 AM - 12 PM,1-stop,After 6 PM,Bangalore,13.25,6820
2023-02-17,Friday,Air India,Economy,Delhi,12 PM - 6 PM,1-stop,6 AM - 12 PM,Mumbai,17.0833,7704
2023-01-22,Sunday,Air India,Business,Mumbai,After 6 PM,1-stop,After 6 PM,Hyderabad,5.75,45693
2023-01-19,Thursday,Vistara,Premium Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,12.4167,11943
2023-01-24,Tuesday,Indigo,Economy,Hyderabad,6 AM - 12 PM,1-stop,After 6 PM,Bangalore,7.5833,8976
2023-02-19,Sunday,Vistara,Economy,Hyderabad,6 AM - 12 PM,1-stop,6 AM - 12 PM,Bangalore,23.25,6862
2023-02-25,Saturday,Vistara,Premium Economy,Hyderabad,6 AM - 12 PM,1-stop,12 PM - 6 PM,Chennai,9.3333,24189
2023-02-11,Saturday,Air India,Economy,Kolkata,6 AM - 12 PM,1-stop,Before 6 AM,Chennai,15.5833,10182
2023-02-06,Monday,Vistara,Economy,Mumbai,After 6 PM,non-stop,Before 6 AM,Delhi,2.0833,5943
2023-02-07,Tuesday,Air India,Economy,Bangalore,12 PM - 6 PM,1-stop,Before 6 AM,Mumbai,8.0,6313
2023-02-19,Sunday,AirAsia,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Bangalore,7.4167,6658
2023-03-05,Sunday,GO FIRST,Economy,Mumbai,After 6 PM,1-stop,6 AM - 12 PM,Kolkata,11.75,14993
2023-01-17,Tuesday,Air India,Business,Bangalore,After 6 PM,non-stop,After 6 PM,Delhi,3.0,34238
2023-03-05,Sunday,Vistara,Business,Mumbai,After 6 PM,1-stop,6 AM - 12 PM,Bangalore,13.8333,54608
2023-01-16,Monday,Vistara,Business,Bangalore,After 6 PM,1-stop,6 AM - 12 PM,Kolkata,11.1667,63503
2023-01-24,Tuesday,Indigo,Economy,Bangalore,Before 6 AM,non-stop,6 AM - 12 PM,Delhi,2.8333,5974
2023-02-16,Thursday,Vistara,Economy,Bangalore,12 PM - 6 PM,1-stop,12 PM - 6 PM,Hyderabad,23.1667,13008
2023-03-01,Wednesday,Vistara,Economy,Delhi,6 AM - 12 PM,1-stop,12 PM - 6 PM,Kolkata,8.0,13883
2023-01-27,Friday,Air India,Economy,Bangalore,After 6 PM,1-stop,12 PM - 6 PM,Delhi,20.0,10278
2023-01-28,Saturday,Air India,Economy,Bangalore,After 6 PM,1-stop,12 PM - 6 PM,Delhi,17.9167,9753
2023-03-02,Thursday,Vistara,Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Chennai,16.0833,8391
2023-02-24,Friday,Vistara,Economy,Kolkata,6 AM - 12 PM,1-stop,6 AM - 12 PM,Chennai,22.5833,9569
2023-02-15,Wednesday,Air India,Economy,Mumbai,12 PM - 6 PM,1-stop,6 AM - 12 PM,Kolkata,16.8333,9954
2023-02-25,Saturday,Indigo,Economy,Kolkata,After 6 PM,non-stop,Before 6 AM,Hyderabad,2.25,6507
2023-02-27,Monday,Air India,Economy,Delhi,12 PM - 6 PM,1-stop,12 PM - 6 PM,Hyderabad,18.5833,8895
2023-01-31,Tuesday,Vistara,Economy,Ahmedabad,6 AM - 12 PM,1-stop,12 PM - 6 PM,Mumbai,9.75,16121
2023-02-15,Wednesday,Vistara,Business,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Hyderabad,11.0833,39377
2023-02-11,Saturday,Vistara,Economy,Mumbai,After 6 PM,1-stop,6 AM - 12 PM,Hyderabad,14.9167,11508
2023-02-07,Tuesday,Vistara,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Chennai,7.5,8391
2023-02-27,Monday,Vistara,Premium Economy,Mumbai,After 6 PM,1-stop,After 6 PM,Ahmedabad,22.8333,10844
2023-02-21,Tuesday,Vistara,Business,Mumbai,12 PM - 6 PM,1-stop,6 AM - 12 PM,Kolkata,18.9167,59805
2023-01-25,Wednesday,Vistara,Economy,Mumbai,12 PM - 6 PM,1-stop,After 6 PM,Bangalore,7.5833,14417
2023-01-23,Monday,Vistara,Economy,Bangalore,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,15.5833,14373
2023-01-25,Wednesday,Vistara,Business,Mumbai,12 PM - 6 PM,1-stop,6 AM - 12 PM,Kolkata,17.8333,49725
2023-03-04,Saturday,Vistara,Business,Bangalore,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,14.4167,62831
2023-01-22,Sunday,Air India,Business,Hyderabad,6 AM - 12 PM,1-stop,After 6 PM,Chennai,16.1667,51830
2023-02-22,Wednesday,Air India,Business,Chennai,6 AM - 12 PM,1-stop,After 6 PM,Kolkata,14.5833,55537
2023-01-16,Monday,Vistara,Economy,Mumbai,After 6 PM,1-stop,After 6 PM,Kolkata,19.25,13713
2023-03-05,Sunday,Vistara,Business,Ahmedabad,6 AM - 12 PM,1-stop,After 6 PM,Mumbai,11.5833,94675
2023-02-26,Sunday,Air India,Business,Chennai,6 AM - 12 PM,1-stop,After 6 PM,Hyderabad,11.1667,51505
2023-02-04,Saturday,Air India,Economy,Bangalore,12 PM - 6 PM,1-stop,After 6 PM,Ahmedabad,27.6667,18048
2023-03-03,Friday,GO FIRST,Economy,Mumbai,After 6 PM,1-stop,6 AM - 12 PM,Kolkata,11.75,14993
2023-02-06,Monday,Air India,Business,Hyderabad,6 AM - 12 PM,1-stop,After 6 PM,Chennai,13.5,51830
2023-02-23,Thursday,Vistara,Premium Economy,Chennai,6 AM - 12 PM,1-stop,6 AM - 12 PM,Bangalore,22.0833,7765
2023-03-03,Friday,Vistara,Economy,Mumbai,After 6 PM,non-stop,Before 6 AM,Delhi,2.25,5943
2023-01-17,Tuesday,Vistara,Economy,Mumbai,12 PM - 6 PM,1-stop,After 6 PM,Delhi,7.9167,8987
2023-01-18,Wednesday,Air India,Economy,Mumbai,12 PM - 6 PM,1-stop,6 AM - 12 PM,Hyderabad,16.6667,6122
2023-02-24,Friday,Vistara,Economy,Hyderabad,6 AM - 12 PM,1-stop,12 PM - 6 PM,Delhi,7.4167,10253
2023-02-18,Saturday,Vistara,Business,Hyderabad,6 AM - 12 PM,1-stop,After 6 PM,Mumbai,14.25,46230
2023-02-24,Friday,Vistara,Economy,Ahmedabad,6 AM - 12 PM,1-stop,After 6 PM,Bangalore,12.0833,8653
2023-02-23,Thursday,Vistara,Premium Economy,Ahmedabad,6 AM - 12 PM,1-stop,After 6 PM,Hyderabad,14.0833,12601
2023-02-19,Sunday,Vistara,Business,Mumbai,6 AM - 12 PM,1-stop,After 6 PM,Ahmedabad,11.0,41549
2023-02-27,Monday,Vistara,Premium Economy,Bangalore,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,10.8333,14447
2023-02-24,Friday,Air India,Economy,Bangalore,After 6 PM,1-stop,12 PM - 6 PM,Kolkata,19.1667,12390
2023-01-22,Sunday,Air India,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,3.75,7320
2023-03-04,Saturday,Indigo,Economy,Kolkata,12 PM - 6 PM,1-stop,After 6 PM,Hyderabad,6.5833,10550
2023-01-20,Friday,Vistara,Premium Economy,Mumbai,12 PM - 6 PM,1-stop,6 AM - 12 PM,Delhi,15.8333,20124
2023-02-04,Saturday,Vistara,Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Chennai,16.8333,12906
2023-02-16,Thursday,Air India,Economy,Ahmedabad,6 AM - 12 PM,1-stop,After 6 PM,Hyderabad,11.0833,18256
2023-02-17,Friday,Vistara,Business,Hyderabad,After 6 PM,1-stop,After 6 PM,Chennai,25.4167,45424
2023-01-20,Friday,Vistara,Premium Economy,Mumbai,After 6 PM,non-stop,After 6 PM,Delhi,2.0833,15834
2023-02-13,Monday,Vistara,Economy,Mumbai,12 PM - 6 PM,1-stop,After 6 PM,Kolkata,9.9167,12821
2023-02-10,Friday,Indigo,Economy,Chennai,After 6 PM,non-stop,Before 6 AM,Bangalore,1.3333,4675
2023-01-18,Wednesday,Air India,Business,Delhi,After 6 PM,1-stop,After 6 PM,Ahmedabad,22.5833,42108
2023-01-25,Wednesday,Vistara,Premium Economy,Mumbai,6 AM - 12 PM,2+-stop,12 PM - 6 PM,Ahmedabad,27.0833,41267
2023-03-01,Wednesday,Indigo,Economy,Chennai,6 AM - 12 PM,1-stop,After 6 PM,Delhi,6.5,18020
2023-02-12,Sunday,Vistara,Premium Economy,Delhi,12 PM - 6 PM,2+-stop,12 PM - 6 PM,Hyderabad,22.8333,12333
2023-02-09,Thursday,Air India,Economy,Ahmedabad,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,13.8333,26031
2023-02-06,Monday,Air India,Business,Mumbai,6 AM - 12 PM,1-stop,After 6 PM,Hyderabad,15.75,45693
2023-02-25,Saturday,Vistara,Premium Economy,Delhi,After 6 PM,2+-stop,After 6 PM,Ahmedabad,29.25,15306
2023-03-02,Thursday,Vistara,Economy,Mumbai,12 PM - 6 PM,1-stop,After 6 PM,Bangalore,6.4167,12737
2023-02-12,Sunday,Air India,Economy,Chennai,12 PM - 6 PM,1-stop,6 AM - 12 PM,Delhi,17.8333,12574
2023-02-21,Tuesday,Vistara,Business,Delhi,12 PM - 6 PM,1-stop,6 AM - 12 PM,Bangalore,14.0,50409
2023-03-05,Sunday,Vistara,Premium Economy,Chennai,6 AM - 12 PM,1-stop,12 PM - 6 PM,Hyderabad,25.25,16494
2023-02-12,Sunday,Indigo,Economy,Mumbai,6 AM - 12 PM,1-stop,12 PM - 6 PM,Bangalore,6.1667,7151
2023-02-06,Monday,Vistara,Business,Delhi,Before 6 AM,1-stop,After 6 PM,Chennai,14.0833,45672
2023-02-28,Tuesday,Indigo,Economy,Hyderabad,12 PM - 6 PM,1-stop,After 6 PM,Delhi,4.6667,11880
2023-01-21,Saturday,Vistara,Business,Chennai,6 AM - 12 PM,1-stop,12 PM - 6 PM,Ahmedabad,7.0,35728
2023-03-02,Thursday,Indigo,Economy,Bangalore,6 AM - 12 PM,non-stop,6 AM - 12 PM,Chennai,1.0833,1914
2023-01-27,Friday,Vistara,Economy,Mumbai,After 6 PM,1-stop,6 AM - 12 PM,Kolkata,10.75,14658
2023-01-30,Monday,Vistara,Economy,Hyderabad,12 PM - 6 PM,non-stop,12 PM - 6 PM,Delhi,2.3333,6946
2023-03-05,Sunday,Air India,Business,Bangalore,12 PM - 6 PM,1-stop,6 AM - 12 PM,Mumbai,17.1667,54879
2023-02-11,Saturday,Indigo,Economy,Hyderabad,After 6 PM,non-stop,Before 6 AM,Mumbai,1.75,4687
2023-02-02,Thursday,Vistara,Business,Delhi,12 PM - 6 PM,non-stop,12 PM - 6 PM,Ahmedabad,1.5833,26968
2023-01-31,Tuesday,GO FIRST,Economy,Mumbai,After 6 PM,non-stop,After 6 PM,Delhi,2.1667,5938
2023-03-04,Saturday,Air India,Economy,Delhi,After 6 PM,1-stop,12 PM - 6 PM,Bangalore,16.6667,7562
2023-01-25,Wednesday,Air India,Business,Kolkata,12 PM - 6 PM,1-stop,6 AM - 12 PM,Hyderabad,17.9167,61041
2023-02-14,Tuesday,Air India,Economy,Chennai,6 AM - 12 PM,1-stop,12 PM - 6 PM,Delhi,8.8333,11365
2023-01-24,Tuesday,Vistara,Economy,Delhi,Before 6 AM,1-stop,After 6 PM,Ahmedabad,18.1667,10680
2023-02-14,Tuesday,Air India,Business,Ahmedabad,6 AM - 12 PM,1-stop,After 6 PM,Delhi,7.5,39114
2023-02-09,Thursday,Air India,Economy,Bangalore,6 AM - 12 PM,1-stop,After 6 PM,Kolkata,10.6667,12115
2023-02-17,Friday,Air India,Business,Delhi,6 AM - 12 PM,1-stop,12 PM - 6 PM,Kolkata,7.3333,44507
2023-02-24,Friday,Vistara,Business,Bangalore,6 AM - 12 PM,1-stop,After 6 PM,Hyderabad,15.75,56783
2023-01-27,Friday,Air India,Economy,Chennai,6 AM - 12 PM,1-stop,After 6 PM,Hyderabad,13.0,10480
2023-01-16,Monday,Vistara,Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Kolkata,13.9167,22860
2023-02-16,Thursday,Indigo,Economy,Ahmedabad,12 PM - 6 PM,1-stop,After 6 PM,Delhi,4.9167,6224
2023-02-15,Wednesday,Air India,Business,Delhi,12 PM - 6 PM,1-stop,6 AM - 12 PM,Bangalore,18.75,35490
2023-01-26,Thursday,Vistara,Business,Bangalore,6 AM - 12 PM,1-stop,After 6 PM,Chennai,14.5833,44475
2023-01-16,Monday,Vistara,Economy,Bangalore,6 AM - 12 PM,1-stop,After 6 PM,Chennai,11.9167,12462
2023-03-04,Saturday,Indigo,Economy,Ahmedabad,6 AM - 12 PM,1-stop,12 PM - 6 PM,Delhi,4.0833,9017
2023-02-03,Friday,Indigo,Economy,Bangalore,6 AM - 12 PM,non-stop,6 AM - 12 PM,Mumbai,1.8333,3055
2023-02-06,Monday,Vistara,Economy,Chennai,6 AM - 12 PM,1-stop,12 PM - 6 PM,Hyderabad,5.6667,13971
2023-02-17,Friday,Air India,Business,Ahmedabad,6 AM - 12 PM,1-stop,After 6 PM,Delhi,10.4167,39114
2023-03-01,Wednesday,Air India,Economy,Mumbai,After 6 PM,2+-stop,12 PM - 6 PM,Kolkata,19.9167,14829
2023-03-02,Thursday,Vistara,Premium Economy,Hyderabad,6 AM - 12 PM,1-stop,6 AM - 12 PM,Bangalore,22.1667,14601
2023-02-11,Saturday,Air India,Business,Chennai,6 AM - 12 PM,1-stop,After 6 PM,Kolkata,17.6667,54641
2023-02-12,Sunday,Vistara,Economy,Ahmedabad,6 AM - 12 PM,1-stop,After 6 PM,Hyderabad,11.1667,13672
2023-02-20,Monday,Vistara,Business,Mumbai,6 AM - 12 PM,1-stop,After 6 PM,Kolkata,12.0833,57677
2023-02-08,Wednesday,Air India,Economy,Ahmedabad,6 AM - 12 PM,1-stop,6 AM - 12 PM,Kolkata,22.4167,9045
2023-01-22,Sunday,Vistara,Business,Delhi,6 AM - 12 PM,1-stop,After 6 PM,Ahmedabad,15.0833,41833
2023-01-30,Monday,Air India,Economy,Delhi,12 PM - 6 PM,1-stop,6 AM - 12 PM,Bangalore,18.5,8129
2023-01-23,Monday,Vistara,Premium Economy,Kolkata,After 6 PM,1-stop,After 6 PM,Bangalore,24.0,22578
2023-01-26,Thursday,Vistara,Business,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Chennai,5.5,45672
2023-02-02,Thursday,Air India,Economy,Bangalore,6 AM - 12 PM,1-stop,After 6 PM,Delhi,11.0833,8388
2023-02-06,Monday,Air India,Business,Hyderabad,After 6 PM,1-stop,6 AM - 12 PM,Chennai,9.0,41078
2023-02-28,Tuesday,Air India,Business,Chennai,6 AM - 12 PM,1-stop,12 PM - 6 PM,Delhi,25.6667,44628
2023-02-14,Tuesday,AkasaAir,Economy,Bangalore,Before 6 AM,non-stop,6 AM - 12 PM,Mumbai,1.6667,2538
2023-02-03,Friday,Air India,Business,Delhi,After 6 PM,1-stop,After 6 PM,Bangalore,23.4167,42457
2023-02-04,Saturday,Vistara,Economy,Delhi,Before 6 AM,1-stop,After 6 PM,Kolkata,14.0833,13883
2023-01-29,Sunday,AirAsia,Economy,Delhi,After 6 PM,1-stop,Before 6 AM,Mumbai,6.3333,14486
2023-01-19,Thursday,Vistara,Economy,Kolkata,12 PM - 6 PM,1-stop,6 AM - 12 PM,Chennai,15.4167,18603
2023-02-08,Wednesday,Vistara,Economy,Mumbai,12 PM - 6 PM,1-stop,After 6 PM,Ahmedabad,5.0833,8773
2023-01-28,Saturday,Air India,Economy,Kolkata,12 PM - 6 PM,1-stop,After 6 PM,Delhi,26.6667,17637
2023-02-22,Wednesday,Indigo,Economy,Kolkata,After 6 PM,1-stop,Before 6 AM,Bangalore,7.4167,9623
2023-02-03,Friday,Vistara,Business,Delhi,12 PM - 6 PM,2+-stop,After 6 PM,Ahmedabad,7.1667,52675
2023-01-22,Sunday,Vistara,Business,Mumbai,After 6 PM,1-stop,12 PM - 6 PM,Delhi,18.5,22285
2023-02-13,Monday,Indigo,Economy,Kolkata,6 AM - 12 PM,1-stop,After 6 PM,Delhi,7.6667,10727
2023-01-27,Friday,Vistara,Economy,Chennai,6 AM - 12 PM,1-stop,6 AM - 12 PM,Kolkata,24.0,13210
2023-01-16,Monday,Indigo,Economy,Mumbai,12 PM - 6 PM,non-stop,12 PM - 6 PM,Ahmedabad,1.3333,3875
2023-03-06,Monday,Indigo,Economy,Kolkata,6 AM - 12 PM,1-stop,12 PM - 6 PM,Chennai,6.5,11054
2023-02-14,Tuesday,AirAsia,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Chennai,9.3333,7752
2023-01-24,Tuesday,Air India,Economy,Mumbai,12 PM - 6 PM,2+-stop,6 AM - 12 PM,Ahmedabad,14.25,11834
2023-01-30,Monday,Vistara,Business,Bangalore,After 6 PM,1-stop,12 PM - 6 PM,Mumbai,20.25,81692
2023-03-03,Friday,Vistara,Economy,Hyderabad,6 AM - 12 PM,1-stop,6 AM - 12 PM,Kolkata,27.0,8970
2023-01-20,Friday,Vistara,Premium Economy,Mumbai,12 PM - 6 PM,non-stop,After 6 PM,Delhi,2.25,8610
2023-02-20,Monday,Air India,Business,Delhi,12 PM - 6 PM,1-stop,Before 6 AM,Mumbai,7.25,41113
2023-02-17,Friday,Vistara,Premium Economy,Mumbai,12 PM - 6 PM,1-stop,After 6 PM,Kolkata,7.1667,15274
2023-01-22,Sunday,Air India,Economy,Kolkata,12 PM - 6 PM,1-stop,6 AM - 12 PM,Delhi,16.0,16272
2023-02-08,Wednesday,Air India,Economy,Mumbai,6 AM - 12 PM,2+-stop,After 6 PM,Ahmedabad,9.5833,22354
2023-02-23,Thursday,Air India,Economy,Bangalore,After 6 PM,1-stop,12 PM - 6 PM,Delhi,20.0,8388
2023-02-09,Thursday,Vistara,Premium Economy,Bangalore,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,12.5,14447
2023-02-16,Thursday,Vistara,Economy,Bangalore,6 AM - 12 PM,1-stop,After 6 PM,Mumbai,12.9167,11065
2023-02-20,Monday,Indigo,Economy,Mumbai,After 6 PM,non-stop,After 6 PM,Ahmedabad,1.25,2395
2023-01-25,Wednesday,Vistara,Business,Bangalore,After 6 PM,1-stop,12 PM - 6 PM,Ahmedabad,17.8333,90417
2023-01-30,Monday,Air India,Business,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,3.75,22152
2023-02-12,Sunday,SpiceJet,Economy,Chennai,After 6 PM,1-stop,After 6 PM,Ahmedabad,22.5,6942
2023-01-22,Sunday,Vistara,Premium Economy,Kolkata,6 AM - 12 PM,1-stop,12 PM - 6 PM,Bangalore,9.8333,22578
2023-02-21,Tuesday,Indigo,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Hyderabad,6.25,7193
2023-02-17,Friday,Air India,Economy,Bangalore,6 AM - 12 PM,1-stop,After 6 PM,Kolkata,13.75,10488
2023-02-03,Friday,Vistara,Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,8.9167,9399
2023-01-25,Wednesday,Vistara,Economy,Kolkata,6 AM - 12 PM,2+-stop,12 PM - 6 PM,Ahmedabad,30.4167,19842
2023-02-04,Saturday,Indigo,Economy,Mumbai,6 AM - 12 PM,non-stop,6 AM - 12 PM,Ahmedabad,1.25,2930
2023-02-21,Tuesday,Vistara,Business,Delhi,6 AM - 12 PM,1-stop,12 PM - 6 PM,Kolkata,7.3333,61161
2023-02-28,Tuesday,Vistara,Premium Economy,Delhi,12 PM - 6 PM,1-stop,6 AM - 12 PM,Mumbai,16.8333,7082
2023-03-04,Saturday,Air India,Economy,Chennai,6 AM - 12 PM,2+-stop,After 6 PM,Mumbai,35.5833,14025
